total_pixels,total_regular,total_anomalies,anomaly_ratio,spatial_coherence_scp,avg_cluster_size,entropy_h,file_path,file_name,dataset,model,protocol
64449,0,0,0.0,0.0,0.0,0.0,Tiff/leaky/IsolationForest/Altamira_NDVI_IsolationForest_leaky_est_100.tif,Altamira_NDVI_IsolationForest_leaky_est_100.tif,Altamira,IsolationForest,leaky
64449,0,0,0.0,0.0,0.0,0.0,Tiff/leaky/IsolationForest/Altamira_NDVI_IsolationForest_leaky_est_20.tif,Altamira_NDVI_IsolationForest_leaky_est_20.tif,Altamira,IsolationForest,leaky
64449,0,0,0.0,0.0,0.0,0.0,Tiff/leaky/IsolationForest/Altamira_NDVI_IsolationForest_leaky_est_40.tif,Altamira_NDVI_IsolationForest_leaky_est_40.tif,Altamira,IsolationForest,leaky
64449,0,0,0.0,0.0,0.0,0.0,Tiff/leaky/IsolationForest/Altamira_NDVI_IsolationForest_leaky_est_60.tif,Altamira_NDVI_IsolationForest_leaky_est_60.tif,Altamira,IsolationForest,leaky
64449,0,0,0.0,0.0,0.0,0.0,Tiff/leaky/IsolationForest/Altamira_NDVI_IsolationForest_leaky_est_80.tif,Altamira_NDVI_IsolationForest_leaky_est_80.tif,Altamira,IsolationForest,leaky
99540,0,0,0.0,0.0,0.0,0.0,Tiff/leaky/IsolationForest/Brumadinho_NDWI_IsolationForest_leaky_est_100.tif,Brumadinho_NDWI_IsolationForest_leaky_est_100.tif,Brumadinho,IsolationForest,leaky
99540,0,0,0.0,0.0,0.0,0.0,Tiff/leaky/IsolationForest/Brumadinho_NDWI_IsolationForest_leaky_est_20.tif,Brumadinho_NDWI_IsolationForest_leaky_est_20.tif,Brumadinho,IsolationForest,leaky
99540,0,0,0.0,0.0,0.0,0.0,Tiff/leaky/IsolationForest/Brumadinho_NDWI_IsolationForest_leaky_est_40.tif,Brumadinho_NDWI_IsolationForest_leaky_est_40.tif,Brumadinho,IsolationForest,leaky
99540,0,0,0.0,0.0,0.0,0.0,Tiff/leaky/IsolationForest/Brumadinho_NDWI_IsolationForest_leaky_est_60.tif,Brumadinho_NDWI_IsolationForest_leaky_est_60.tif,Brumadinho,IsolationForest,leaky
99540,0,0,0.0,0.0,0.0,0.0,Tiff/leaky/IsolationForest/Brumadinho_NDWI_IsolationForest_leaky_est_80.tif,Brumadinho_NDWI_IsolationForest_leaky_est_80.tif,Brumadinho,IsolationForest,leaky
52863,1,0,0.0,0.0,0.0,0.0,Tiff/leaky/IsolationForest/Mariana_GVMI_IsolationForest_leaky_est_100.tif,Mariana_GVMI_IsolationForest_leaky_est_100.tif,Mariana,IsolationForest,leaky
52863,0,0,0.0,0.0,0.0,0.0,Tiff/leaky/IsolationForest/Mariana_GVMI_IsolationForest_leaky_est_20.tif,Mariana_GVMI_IsolationForest_leaky_est_20.tif,Mariana,IsolationForest,leaky
52863,0,0,0.0,0.0,0.0,0.0,Tiff/leaky/IsolationForest/Mariana_GVMI_IsolationForest_leaky_est_40.tif,Mariana_GVMI_IsolationForest_leaky_est_40.tif,Mariana,IsolationForest,leaky
