Dataset,Model,Total Anomalies,Spatial Coherence (SCP),Temporal Persistence (TPR),Flicker Ratio (SFR),Avg Cluster Size (px),Entropy (H),Disaster Contrast (CNR),Execution Time (s)
Altamira (NDVI),Paper Benchmark,N/A,High (~0.88),N/A,N/A,N/A,N/A,N/A,< 30 s
Altamira (NDVI),Simple Baseline (Z-Score),"2,380,678",0.893,0.4425,1.1041,"64,449.00",0.6552,1.1718,14.17 s
Altamira (NDVI),Isolation Forest (IF),"5,555,889",0.8395,0.6651,0.6491,"64,449.00",0.8758,1.0641,109.97 s
Altamira (NDVI),Improved (LSTM Autoencoder),"586,486",0.9539,0.4879,1.0118,"21,108.67",0.2744,1.3976,117.80 s
Brumadinho (NDWI),Paper Benchmark,N/A,High (~0.85),N/A,N/A,N/A,N/A,N/A,< 45 s
Brumadinho (NDWI),Simple Baseline (Z-Score),"4,505,199",0.9009,0.5654,0.8545,"99,540.00",0.821,0.8594,31.40 s
Brumadinho (NDWI),Isolation Forest (IF),"10,399,306",0.8161,0.7521,0.4777,"99,540.00",0.8926,0.8842,102.81 s
Brumadinho (NDWI),Improved (LSTM Autoencoder),"781,389",0.9899,0.2961,1.3871,"1,059.44",0.2659,1.5925,169.76 s
Mariana (GVMI / NDWI),Paper Benchmark,N/A,High (~0.86),N/A,N/A,N/A,N/A,N/A,< 25 s
Mariana (GVMI / NDWI),Simple Baseline (Z-Score),"1,277,376",0.9296,0.3378,1.3193,"52,863.00",0.6692,1.1647,11.05 s
Mariana (GVMI / NDWI),Isolation Forest (IF),"3,307,358",0.8364,0.5978,0.7824,"52,863.00",0.9315,0.9609,71.49 s
Mariana (GVMI / NDWI),Improved (LSTM Autoencoder),"322,464",0.9831,0.3021,1.3825,264.8,0.2509,0.903,63.48 s
